product_cd	category_major_cd	category_medium_cd	category_small_cd	unit_price	unit_cost	category_major_name	category_medium_name	category_small_name
P040101001	4	401	40101	198.0	149.0	惣菜	御飯類	弁当類
P040101002	4	401	40101	218.0	164.0	惣菜	御飯類	弁当類
P040101003	4	401	40101	230.0	173.0	惣菜	御飯類	弁当類
P040101004	4	401	40101	248.0	186.0	惣菜	御飯類	弁当類
P040101005	4	401	40101	268.0	201.0	惣菜	御飯類	弁当類
P040101006	4	401	40101	298.0	224.0	惣菜	御飯類	弁当類
P040101007	4	401	40101	338.0	254.0	惣菜	御飯類	弁当類
P040101008	4	401	40101	420.0	315.0	惣菜	御飯類	弁当類
P040101009	4	401	40101	498.0	374.0	惣菜	御飯類	弁当類
P040101010	4	401	40101	580.0	435.0	惣菜	御飯類	弁当類
P040102001	4	401	40102	268.0	201.0	惣菜	御飯類	寿司類
P040102002	4	401	40102	268.0	201.0	惣菜	御飯類	寿司類
P040102003	4	401	40102	278.0	209.0	惣菜	御飯類	寿司類
P040102004	4	401	40102	318.0	239.0	惣菜	御飯類	寿司類
P040102005	4	401	40102	318.0	239.0	惣菜	御飯類	寿司類
P040102006	4	401	40102	318.0	239.0	惣菜	御飯類	寿司類
P040102007	4	401	40102	338.0	254.0	惣菜	御飯類	寿司類
P040102008	4	401	40102	358.0	269.0	惣菜	御飯類	寿司類
P040102009	4	401	40102	358.0	269.0	惣菜	御飯類	寿司類
P040102010	4	401	40102	358.0	269.0	惣菜	御飯類	寿司類
P040102011	4	401	40102	358.0	269.0	惣菜	御飯類	寿司類
P040102012	4	401	40102	358.0	269.0	惣菜	御飯類	寿司類
P040102013	4	401	40102	398.0	299.0	惣菜	御飯類	寿司類
P040102014	4	401	40102	398.0	299.0	惣菜	御飯類	寿司類
P040102015	4	401	40102	398.0	299.0	惣菜	御飯類	寿司類
P040102016	4	401	40102	398.0	299.0	惣菜	御飯類	寿司類
P040102017	4	401	40102	438.0	329.0	惣菜	御飯類	寿司類
P040102018	4	401	40102	498.0	374.0	惣菜	御飯類	寿司類
P040102019	4	401	40102	598.0	449.0	惣菜	御飯類	寿司類
P040102020	4	401	40102	980.0	735.0	惣菜	御飯類	寿司類
P040102021	4	401	40102	1780.0	1335.0	惣菜	御飯類	寿司類
P040102022	4	401	40102	3000.0	2250.0	惣菜	御飯類	寿司類
P040102023	4	401	40102	5000.0	3750.0	惣菜	御飯類	寿司類
P040102024	4	401	40102	5000.0	3750.0	惣菜	御飯類	寿司類
P040201001	4	402	40201	148.0	111.0	惣菜	佃煮類	魚介佃煮類
P040201002	4	402	40201	178.0	134.0	惣菜	佃煮類	魚介佃煮類
P040201003	4	402	40201	198.0	149.0	惣菜	佃煮類	魚介佃煮類
P040201004	4	402	40201	248.0	186.0	惣菜	佃煮類	魚介佃煮類
P040201005	4	402	40201	258.0	194.0	惣菜	佃煮類	魚介佃煮類
P040201006	4	402	40201	298.0	224.0	惣菜	佃煮類	魚介佃煮類
P040202001	4	402	40202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202002	4	402	40202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202003	4	402	40202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202004	4	402	40202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202005	4	402	40202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202006	4	402	40202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202007	4	402	40202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202008	4	402	40202	178.0	134.0	惣菜	佃煮類	海草佃煮類
P040202009	4	402	40202	198.0	149.0	惣菜	佃煮類	海草佃煮類
P040202010	4	402	40202	198.0	149.0	惣菜	佃煮類	海草佃煮類
P040202011	4	402	40202	198.0	149.0	惣菜	佃煮類	海草佃煮類
P040202012	4	402	40202	298.0	224.0	惣菜	佃煮類	海草佃煮類
P040203001	4	402	40203	188.0	141.0	惣菜	佃煮類	野菜佃煮類
P040203002	4	402	40203	428.0	321.0	惣菜	佃煮類	野菜佃煮類
P040204001	4	402	40204	158.0	119.0	惣菜	佃煮類	豆佃煮類
P040204002	4	402	40204	188.0	141.0	惣菜	佃煮類	豆佃煮類
P040204003	4	402	40204	188.0	141.0	惣菜	佃煮類	豆佃煮類
P040204004	4	402	40204	188.0	141.0	惣菜	佃煮類	豆佃煮類
P040204005	4	402	40204	198.0	149.0	惣菜	佃煮類	豆佃煮類
P040204006	4	402	40204	198.0	149.0	惣菜	佃煮類	豆佃煮類
P040204007	4	402	40204	198.0	149.0	惣菜	佃煮類	豆佃煮類
P040204008	4	402	40204	198.0	149.0	惣菜	佃煮類	豆佃煮類
P040204009	4	402	40204	398.0	299.0	惣菜	佃煮類	豆佃煮類
P040301001	4	403	40301	248.0	186.0	惣菜	サラダ類	サラダ類
P040301002	4	403	40301	248.0	186.0	惣菜	サラダ類	サラダ類
P040301003	4	403	40301	278.0	209.0	惣菜	サラダ類	サラダ類
P040301004	4	403	40301	298.0	224.0	惣菜	サラダ類	サラダ類
P040301005	4	403	40301	298.0	224.0	惣菜	サラダ類	サラダ類
P040401001	4	404	40401	118.0	89.0	惣菜	和風惣菜	炒め・煮物類
P040401002	4	404	40401	138.0	104.0	惣菜	和風惣菜	炒め・煮物類
P040401003	4	404	40401	198.0	149.0	惣菜	和風惣菜	炒め・煮物類
P040401004	4	404	40401	228.0	171.0	惣菜	和風惣菜	炒め・煮物類
P040401005	4	404	40401	228.0	171.0	惣菜	和風惣菜	炒め・煮物類
P040401006	4	404	40401	248.0	186.0	惣菜	和風惣菜	炒め・煮物類
P040401007	4	404	40401	258.0	194.0	惣菜	和風惣菜	炒め・煮物類
P040401008	4	404	40401	278.0	209.0	惣菜	和風惣菜	炒め・煮物類
P040401009	4	404	40401	278.0	209.0	惣菜	和風惣菜	炒め・煮物類
P040401010	4	404	40401	298.0	224.0	惣菜	和風惣菜	炒め・煮物類
P040401011	4	404	40401	298.0	224.0	惣菜	和風惣菜	炒め・煮物類
P040401012	4	404	40401	338.0	254.0	惣菜	和風惣菜	炒め・煮物類
P040401013	4	404	40401	358.0	269.0	惣菜	和風惣菜	炒め・煮物類
P040401014	4	404	40401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040401015	4	404	40401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040401016	4	404	40401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040401017	4	404	40401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040401018	4	404	40401	398.0	299.0	惣菜	和風惣菜	炒め・煮物類
P040402001	4	404	40402	228.0	171.0	惣菜	和風惣菜	和え物
P040403001	4	404	40403	198.0	149.0	惣菜	和風惣菜	酢の物
P040403002	4	404	40403	248.0	186.0	惣菜	和風惣菜	酢の物
P040403003	4	404	40403	248.0	186.0	惣菜	和風惣菜	酢の物
P040403004	4	404	40403	248.0	186.0	惣菜	和風惣菜	酢の物
P040403005	4	404	40403	248.0	186.0	惣菜	和風惣菜	酢の物
P040403006	4	404	40403	278.0	209.0	惣菜	和風惣菜	酢の物
P040403007	4	404	40403	298.0	224.0	惣菜	和風惣菜	酢の物
P040403008	4	404	40403	298.0	224.0	惣菜	和風惣菜	酢の物
P040404001	4	404	40404	180.0	135.0	惣菜	和風惣菜	その他和風惣菜
P040404002	4	404	40404	198.0	149.0	惣菜	和風惣菜	その他和風惣菜
P040404003	4	404	40404	198.0	149.0	惣菜	和風惣菜	その他和風惣菜
P040404004	4	404	40404	235.0	176.0	惣菜	和風惣菜	その他和風惣菜
P040404005	4	404	40404	248.0	186.0	惣菜	和風惣菜	その他和風惣菜
P040404006	4	404	40404	278.0	209.0	惣菜	和風惣菜	その他和風惣菜
P040404007	4	404	40404	278.0	209.0	惣菜	和風惣菜	その他和風惣菜
P040404008	4	404	40404	288.0	216.0	惣菜	和風惣菜	その他和風惣菜
P040404009	4	404	40404	338.0	254.0	惣菜	和風惣菜	その他和風惣菜
P040404010	4	404	40404	398.0	299.0	惣菜	和風惣菜	その他和風惣菜
P040404011	4	404	40404	478.0	359.0	惣菜	和風惣菜	その他和風惣菜
P040404012	4	404	40404	548.0	411.0	惣菜	和風惣菜	その他和風惣菜
P040501001	4	405	40501	100.0	75.0	惣菜	フライ物	フライ物
P040501002	4	405	40501	180.0	135.0	惣菜	フライ物	フライ物
P040501003	4	405	40501	220.0	165.0	惣菜	フライ物	フライ物
P040501004	4	405	40501	278.0	209.0	惣菜	フライ物	フライ物
P040501005	4	405	40501	278.0	209.0	惣菜	フライ物	フライ物
P040501006	4	405	40501	298.0	224.0	惣菜	フライ物	フライ物
P040501007	4	405	40501	298.0	224.0	惣菜	フライ物	フライ物
P040501008	4	405	40501	298.0	224.0	惣菜	フライ物	フライ物
P040501009	4	405	40501	298.0	224.0	惣菜	フライ物	フライ物
P040501010	4	405	40501	318.0	239.0	惣菜	フライ物	フライ物
P040502001	4	405	40502	208.0	156.0	惣菜	フライ物	唐揚げ類
P040502002	4	405	40502	278.0	209.0	惣菜	フライ物	唐揚げ類
P040502003	4	405	40502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040502004	4	405	40502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040502005	4	405	40502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040502006	4	405	40502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040502007	4	405	40502	298.0	224.0	惣菜	フライ物	唐揚げ類
P040503001	4	405	40503	298.0	224.0	惣菜	フライ物	天麩羅類
P040504001	4	405	40504	180.0	135.0	惣菜	フライ物	チキンロースト類
P040504002	4	405	40504	218.0	164.0	惣菜	フライ物	チキンロースト類
P040504003	4	405	40504	288.0	216.0	惣菜	フライ物	チキンロースト類
P040504004	4	405	40504	288.0	216.0	惣菜	フライ物	チキンロースト類
P040504005	4	405	40504	308.0	231.0	惣菜	フライ物	チキンロースト類
P040504006	4	405	40504	338.0	254.0	惣菜	フライ物	チキンロースト類
P040504007	4	405	40504	338.0	254.0	惣菜	フライ物	チキンロースト類
P040504008	4	405	40504	358.0	269.0	惣菜	フライ物	チキンロースト類
P040504009	4	405	40504	468.0	351.0	惣菜	フライ物	チキンロースト類
P040504010	4	405	40504	498.0	374.0	惣菜	フライ物	チキンロースト類
P040601001	4	406	40601	278.0	209.0	惣菜	洋風惣菜	グラタン・ピザ類
P040602001	4	406	40602	405.0	304.0	惣菜	洋風惣菜	スナック類
P040602002	4	406	40602	440.0	330.0	惣菜	洋風惣菜	スナック類
P040603001	4	406	40603	1980.0	1485.0	惣菜	洋風惣菜	その他洋風惣菜
P040701001	4	407	40701	208.0	156.0	惣菜	中華惣菜	中華惣菜
P040701002	4	407	40701	208.0	156.0	惣菜	中華惣菜	中華惣菜
P040701003	4	407	40701	268.0	201.0	惣菜	中華惣菜	中華惣菜
P040701004	4	407	40701	278.0	209.0	惣菜	中華惣菜	中華惣菜
P040701005	4	407	40701	288.0	216.0	惣菜	中華惣菜	中華惣菜
P040701006	4	407	40701	298.0	224.0	惣菜	中華惣菜	中華惣菜
P040701007	4	407	40701	298.0	224.0	惣菜	中華惣菜	中華惣菜
P040701008	4	407	40701	298.0	224.0	惣菜	中華惣菜	中華惣菜
P040701009	4	407	40701	358.0	269.0	惣菜	中華惣菜	中華惣菜
P040801001	4	408	40801	78.0	59.0	惣菜	焼き物	うなぎ蒲焼
P040801002	4	408	40801	88.0	66.0	惣菜	焼き物	うなぎ蒲焼
P040801003	4	408	40801	148.0	111.0	惣菜	焼き物	うなぎ蒲焼
P040801004	4	408	40801	248.0	186.0	惣菜	焼き物	うなぎ蒲焼
P040801005	4	408	40801	918.0	689.0	惣菜	焼き物	うなぎ蒲焼
P040802001	4	408	40802	80.0	60.0	惣菜	焼き物	その他やきもの
