category_major_cd,category_major_name,category_medium_cd,category_medium_name,category_small_cd,category_small_name
04,惣菜,0401,御飯類,040101,弁当類
04,惣菜,0401,御飯類,040102,寿司類
04,惣菜,0402,佃煮類,040201,魚介佃煮類
04,惣菜,0402,佃煮類,040202,海草佃煮類
04,惣菜,0402,佃煮類,040203,野菜佃煮類
04,惣菜,0402,佃煮類,040204,豆佃煮類
04,惣菜,0403,サラダ類,040301,サラダ類
04,惣菜,0404,和風惣菜,040401,炒め・煮物類
04,惣菜,0404,和風惣菜,040402,和え物
04,惣菜,0404,和風惣菜,040403,酢の物
04,惣菜,0404,和風惣菜,040404,その他和風惣菜
04,惣菜,0405,フライ物,040501,フライ物
04,惣菜,0405,フライ物,040502,唐揚げ類
04,惣菜,0405,フライ物,040503,天麩羅類
04,惣菜,0405,フライ物,040504,チキンロースト類
04,惣菜,0406,洋風惣菜,040601,グラタン・ピザ類
04,惣菜,0406,洋風惣菜,040602,スナック類
04,惣菜,0406,洋風惣菜,040603,その他洋風惣菜
04,惣菜,0407,中華惣菜,040701,中華惣菜
04,惣菜,0408,焼き物,040801,うなぎ蒲焼
04,惣菜,0408,焼き物,040802,その他やきもの
04,惣菜,0413,その他,041302,その他
05,和日配,0501,水物,050101,豆腐
05,和日配,0501,水物,050102,油揚げ・がんも
05,和日配,0501,水物,050103,コンニャク
05,和日配,0501,水物,050104,その他水物
05,和日配,0502,漬物,050201,ぬか漬け
05,和日配,0502,漬物,050202,塩漬け
05,和日配,0502,漬物,050203,醤油漬け
05,和日配,0502,漬物,050204,粕漬け
05,和日配,0502,漬物,050205,酢漬け
05,和日配,0502,漬物,050206,味噌漬け
05,和日配,0502,漬物,050207,その他漬物
05,和日配,0503,生麺,050301,生うどん
05,和日配,0503,生麺,050302,生そば
05,和日配,0503,生麺,050303,生ラーメン
05,和日配,0503,生麺,050304,生パスタ
05,和日配,0503,生麺,050305,その他
05,和日配,0504,練物,050401,赤板
05,和日配,0504,練物,050402,野焼
05,和日配,0504,練物,050403,竹輪
05,和日配,0504,練物,050404,揚げ物
05,和日配,0504,練物,050405,はんぺん
05,和日配,0504,練物,050406,その他蒲鉾
05,和日配,0504,練物,050407,調理練り製品
05,和日配,0505,冷凍食品,050501,冷凍野菜
05,和日配,0505,冷凍食品,050502,惣菜冷凍食品
05,和日配,0505,冷凍食品,050503,スナック冷凍食品
05,和日配,0505,冷凍食品,050504,米飯冷凍食品
05,和日配,0505,冷凍食品,050505,麺類冷凍食品
05,和日配,0505,冷凍食品,050506,その他冷凍食品
05,和日配,0506,卵,050601,普通卵
05,和日配,0506,卵,050602,特殊卵
05,和日配,0506,卵,050603,その他
05,和日配,0507,その他和日配,050701,納豆
05,和日配,0590,その他,059001,その他
06,パン・乳製品,0601,パン,060101,食パン
06,パン・乳製品,0601,パン,060102,菓子パン
06,パン・乳製品,0601,パン,060103,調理パン
06,パン・乳製品,0601,パン,060104,その他パン
06,パン・乳製品,0602,生菓子,060201,生菓子
06,パン・乳製品,0602,生菓子,060202,饅頭類
06,パン・乳製品,0602,生菓子,060203,ケーキ類
06,パン・乳製品,0602,生菓子,060204,その他
06,パン・乳製品,0603,牛乳,060303,その他牛乳
06,パン・乳製品,0604,乳製品,060401,バター
06,パン・乳製品,0604,乳製品,060402,マーガリン
06,パン・乳製品,0604,乳製品,060403,チーズ
06,パン・乳製品,0605,チルド食品,060501,チルド半製品
06,パン・乳製品,0605,チルド食品,060502,チルド調味料
06,パン・乳製品,0605,チルド食品,060503,チルドデザート
06,パン・乳製品,0606,乳飲料,060601,乳飲料
06,パン・乳製品,0606,乳飲料,060602,果汁飲料
06,パン・乳製品,0606,乳飲料,060603,その他
06,パン・乳製品,0607,デザート,060701,プリン
06,パン・乳製品,0607,デザート,060702,ヨーグルト
06,パン・乳製品,0607,デザート,060703,ゼリー
06,パン・乳製品,0607,デザート,060704,その他デザート
06,パン・乳製品,0608,冷菓,060801,パーソナルアイス
06,パン・乳製品,0608,冷菓,060802,プレミアムアイス
06,パン・乳製品,0608,冷菓,060803,ファミリーアイス
06,パン・乳製品,0608,冷菓,060804,アイス徳用パック
06,パン・乳製品,0608,冷菓,060805,業務用アイス
06,パン・乳製品,0608,冷菓,060806,その他冷菓
07,瓶詰缶詰,0701,農産乾物,070101,粉類
07,瓶詰缶詰,0701,農産乾物,070102,椎茸
07,瓶詰缶詰,0701,農産乾物,070103,乾燥豆類
07,瓶詰缶詰,0701,農産乾物,070104,その他農産乾物
07,瓶詰缶詰,0702,海産乾物,070201,のり
07,瓶詰缶詰,0702,海産乾物,070202,海草類
07,瓶詰缶詰,0702,海産乾物,070203,煮干し・削りぶし
07,瓶詰缶詰,0702,海産乾物,070204,その他海産乾物
07,瓶詰缶詰,0703,和風調味料,070301,醤油
07,瓶詰缶詰,0703,和風調味料,070302,みりん
07,瓶詰缶詰,0703,和風調味料,070303,タレ・つゆ
07,瓶詰缶詰,0703,和風調味料,070304,味噌
07,瓶詰缶詰,0703,和風調味料,070305,砂糖・甘味料
07,瓶詰缶詰,0703,和風調味料,070306,塩
07,瓶詰缶詰,0703,和風調味料,070307,調味料の素
07,瓶詰缶詰,0703,和風調味料,070308,食用油
07,瓶詰缶詰,0703,和風調味料,070309,食用酢
07,瓶詰缶詰,0703,和風調味料,070310,その他和風調味料
07,瓶詰缶詰,0704,洋風調味料,070401,ドレッシング
07,瓶詰缶詰,0704,洋風調味料,070402,ビネガー
07,瓶詰缶詰,0704,洋風調味料,070403,ケチャップ
07,瓶詰缶詰,0704,洋風調味料,070404,ソース
07,瓶詰缶詰,0704,洋風調味料,070405,カレー・シチュー
07,瓶詰缶詰,0704,洋風調味料,070406,スパイス
07,瓶詰缶詰,0704,洋風調味料,070407,中華材料
07,瓶詰缶詰,0704,洋風調味料,070408,その他洋風調味料
07,瓶詰缶詰,0705,缶・瓶詰,070501,農産缶詰
07,瓶詰缶詰,0705,缶・瓶詰,070502,畜産缶詰
07,瓶詰缶詰,0705,缶・瓶詰,070503,水産缶詰
07,瓶詰缶詰,0705,缶・瓶詰,070504,フルーツ缶詰
07,瓶詰缶詰,0705,缶・瓶詰,070505,瓶詰め
07,瓶詰缶詰,0705,缶・瓶詰,070506,その他缶瓶詰め
07,瓶詰缶詰,0706,乾麺,070601,乾めん
