product_cd,category_major_cd,category_medium_cd,category_small_cd,unit_price,unit_cost
P040101001,04,0401,040101,198,149
P040101002,04,0401,040101,218,164
P040101003,04,0401,040101,230,173
P040101004,04,0401,040101,248,186
P040101005,04,0401,040101,268,201
P040101006,04,0401,040101,298,224
P040101007,04,0401,040101,338,254
P040101008,04,0401,040101,420,315
P040101009,04,0401,040101,498,374
P040101010,04,0401,040101,580,435
P040102001,04,0401,040102,268,201
P040102002,04,0401,040102,268,201
P040102003,04,0401,040102,278,209
P040102004,04,0401,040102,318,239
P040102005,04,0401,040102,318,239
P040102006,04,0401,040102,318,239
P040102007,04,0401,040102,338,254
P040102008,04,0401,040102,358,269
P040102009,04,0401,040102,358,269
P040102010,04,0401,040102,358,269
P040102011,04,0401,040102,358,269
P040102012,04,0401,040102,358,269
P040102013,04,0401,040102,398,299
P040102014,04,0401,040102,398,299
P040102015,04,0401,040102,398,299
P040102016,04,0401,040102,398,299
P040102017,04,0401,040102,438,329
P040102018,04,0401,040102,498,374
P040102019,04,0401,040102,598,449
P040102020,04,0401,040102,980,735
P040102021,04,0401,040102,1780,1335
P040102022,04,0401,040102,3000,2250
P040102023,04,0401,040102,5000,3750
P040102024,04,0401,040102,5000,3750
P040201001,04,0402,040201,148,111
P040201002,04,0402,040201,178,134
P040201003,04,0402,040201,198,149
P040201004,04,0402,040201,248,186
P040201005,04,0402,040201,258,194
P040201006,04,0402,040201,298,224
P040202001,04,0402,040202,178,134
P040202002,04,0402,040202,178,134
P040202003,04,0402,040202,178,134
P040202004,04,0402,040202,178,134
P040202005,04,0402,040202,178,134
P040202006,04,0402,040202,178,134
P040202007,04,0402,040202,178,134
P040202008,04,0402,040202,178,134
P040202009,04,0402,040202,198,149
P040202010,04,0402,040202,198,149
P040202011,04,0402,040202,198,149
P040202012,04,0402,040202,298,224
P040203001,04,0402,040203,188,141
P040203002,04,0402,040203,428,321
P040204001,04,0402,040204,158,119
P040204002,04,0402,040204,188,141
P040204003,04,0402,040204,188,141
P040204004,04,0402,040204,188,141
P040204005,04,0402,040204,198,149
P040204006,04,0402,040204,198,149
P040204007,04,0402,040204,198,149
P040204008,04,0402,040204,198,149
P040204009,04,0402,040204,398,299
P040301001,04,0403,040301,248,186
P040301002,04,0403,040301,248,186
P040301003,04,0403,040301,278,209
P040301004,04,0403,040301,298,224
P040301005,04,0403,040301,298,224
P040401001,04,0404,040401,118,89
P040401002,04,0404,040401,138,104
P040401003,04,0404,040401,198,149
P040401004,04,0404,040401,228,171
P040401005,04,0404,040401,228,171
P040401006,04,0404,040401,248,186
P040401007,04,0404,040401,258,194
P040401008,04,0404,040401,278,209
P040401009,04,0404,040401,278,209
P040401010,04,0404,040401,298,224
P040401011,04,0404,040401,298,224
P040401012,04,0404,040401,338,254
P040401013,04,0404,040401,358,269
P040401014,04,0404,040401,398,299
P040401015,04,0404,040401,398,299
P040401016,04,0404,040401,398,299
P040401017,04,0404,040401,398,299
P040401018,04,0404,040401,398,299
P040402001,04,0404,040402,228,171
P040403001,04,0404,040403,198,149
P040403002,04,0404,040403,248,186
P040403003,04,0404,040403,248,186
P040403004,04,0404,040403,248,186
P040403005,04,0404,040403,248,186
P040403006,04,0404,040403,278,209
P040403007,04,0404,040403,298,224
P040403008,04,0404,040403,298,224
P040404001,04,0404,040404,180,135
P040404002,04,0404,040404,198,149
P040404003,04,0404,040404,198,149
P040404004,04,0404,040404,235,176
P040404005,04,0404,040404,248,186
P040404006,04,0404,040404,278,209
P040404007,04,0404,040404,278,209
P040404008,04,0404,040404,288,216
P040404009,04,0404,040404,338,254
P040404010,04,0404,040404,398,299
P040404011,04,0404,040404,478,359
P040404012,04,0404,040404,548,411
P040501001,04,0405,040501,100,75
P040501002,04,0405,040501,180,135
P040501003,04,0405,040501,220,165
P040501004,04,0405,040501,278,209
P040501005,04,0405,040501,278,209
P040501006,04,0405,040501,298,224
P040501007,04,0405,040501,298,224
P040501008,04,0405,040501,298,224
P040501009,04,0405,040501,298,224
P040501010,04,0405,040501,318,239
P040502001,04,0405,040502,208,156
P040502002,04,0405,040502,278,209
P040502003,04,0405,040502,298,224
P040502004,04,0405,040502,298,224
P040502005,04,0405,040502,298,224
P040502006,04,0405,040502,298,224
P040502007,04,0405,040502,298,224
P040503001,04,0405,040503,298,224
P040504001,04,0405,040504,180,135
P040504002,04,0405,040504,218,164
P040504003,04,0405,040504,288,216
P040504004,04,0405,040504,288,216
P040504005,04,0405,040504,308,231
P040504006,04,0405,040504,338,254
P040504007,04,0405,040504,338,254
P040504008,04,0405,040504,358,269
P040504009,04,0405,040504,468,351
P040504010,04,0405,040504,498,374
P040601001,04,0406,040601,278,209
P040602001,04,0406,040602,405,304
P040602002,04,0406,040602,440,330
P040603001,04,0406,040603,1980,1485
P040701001,04,0407,040701,208,156
P040701002,04,0407,040701,208,156
P040701003,04,0407,040701,268,201
P040701004,04,0407,040701,278,209
P040701005,04,0407,040701,288,216
P040701006,04,0407,040701,298,224
P040701007,04,0407,040701,298,224
P040701008,04,0407,040701,298,224
P040701009,04,0407,040701,358,269
P040801001,04,0408,040801,78,59
P040801002,04,0408,040801,88,66
P040801003,04,0408,040801,148,111
P040801004,04,0408,040801,248,186
P040801005,04,0408,040801,918,689
P040802001,04,0408,040802,80,60
P040802002,04,0408,040802,100,75
P040802003,04,0408,040802,258,194
P040802004,04,0408,040802,368,276
P040802005,04,0408,040802,368,276
P040802006,04,0408,040802,438,329
P040802007,04,0408,040802,,
P041302001,04,0413,041302,450,338
P050101001,05,0501,050101,40,30
P050101002,05,0501,050101,128,96
P050101003,05,0501,050101,138,104
P050101004,05,0501,050101,138,104
P050101005,05,0501,050101,145,109
P050101006,05,0501,050101,158,119
P050101007,05,0501,050101,168,126
P050101008,05,0501,050101,168,126
P050101009,05,0501,050101,208,156
P050102001,05,0501,050102,60,45
P050102002,05,0501,050102,138,104
P050102003,05,0501,050102,185,139
P050102004,05,0501,050102,188,141
P050102005,05,0501,050102,198,149
P050102006,05,0501,050102,215,161
P050103001,05,0501,050103,78,59
P050103002,05,0501,050103,80,60
P050103003,05,0501,050103,88,66
P050103004,05,0501,050103,110,83
P050103005,05,0501,050103,128,96
P050103006,05,0501,050103,128,96
P050103007,05,0501,050103,128,96
P050103008,05,0501,050103,128,96
P050103009,05,0501,050103,128,96
P050103010,05,0501,050103,130,98
P050103011,05,0501,050103,135,101
P050103012,05,0501,050103,148,111
P050103013,05,0501,050103,148,111
P050103014,05,0501,050103,158,119
P050103015,05,0501,050103,158,119
P050103016,05,0501,050103,165,124
P050103017,05,0501,050103,215,161
P050103018,05,0501,050103,235,176
P050103019,05,0501,050103,245,184
P050103020,05,0501,050103,268,201
P050103021,05,0501,050103,,
P050104001,05,0501,050104,115,86
P050104002,05,0501,050104,115,86
P050104003,05,0501,050104,118,89
P050104004,05,0501,050104,138,104
P050104005,05,0501,050104,138,104
P050104006,05,0501,050104,188,141
P050104007,05,0501,050104,188,141
P050104008,05,0501,050104,188,141
P050104009,05,0501,050104,188,141
P050104010,05,0501,050104,210,158
P050104011,05,0501,050104,210,158
P050104012,05,0501,050104,740,555
P050201001,05,0502,050201,138,104
P050201002,05,0502,050201,188,141
P050201003,05,0502,050201,195,146
P050201004,05,0502,050201,195,146
P050201005,05,0502,050201,198,149
P050201006,05,0502,050201,218,164
P050201007,05,0502,050201,220,165
P050201008,05,0502,050201,228,171
P050201009,05,0502,050201,235,176
P050201010,05,0502,050201,238,179
P050201011,05,0502,050201,450,338
P050202001,05,0502,050202,120,90
P050202002,05,0502,050202,145,109
P050202003,05,0502,050202,155,116
P050202004,05,0502,050202,155,116
P050202005,05,0502,050202,160,120
P050202006,05,0502,050202,185,139
P050202007,05,0502,050202,188,141
P050202008,05,0502,050202,188,141
P050202009,05,0502,050202,198,149
P050202010,05,0502,050202,198,149
P050202011,05,0502,050202,198,149
P050202012,05,0502,050202,198,149
P050202013,05,0502,050202,198,149
P050202014,05,0502,050202,208,156
P050202015,05,0502,050202,208,156
P050202016,05,0502,050202,220,165
P050202017,05,0502,050202,220,165
P050202018,05,0502,050202,228,171
P050202019,05,0502,050202,235,176
P050202020,05,0502,050202,235,176
P050202021,05,0502,050202,235,176
P050202022,05,0502,050202,235,176
P050202023,05,0502,050202,235,176
P050202024,05,0502,050202,268,201
P050202025,05,0502,050202,298,224
P050202026,05,0502,050202,298,224
P050202027,05,0502,050202,308,231
P050202028,05,0502,050202,325,244
P050202029,05,0502,050202,338,254
P050202030,05,0502,050202,378,284
P050202031,05,0502,050202,438,329
P050202032,05,0502,050202,530,398
P050202033,05,0502,050202,618,464
P050202034,05,0502,050202,688,516
P050202035,05,0502,050202,688,516
P050202036,05,0502,050202,960,720
P050202037,05,0502,050202,980,735
P050203001,05,0502,050203,145,109
P050203002,05,0502,050203,150,113
P050203003,05,0502,050203,155,116
P050203004,05,0502,050203,155,116
P050203005,05,0502,050203,178,134
P050203006,05,0502,050203,178,134
P050203007,05,0502,050203,178,134
P050203008,05,0502,050203,188,141
P050203009,05,0502,050203,198,149
P050203010,05,0502,050203,208,156
P050203011,05,0502,050203,208,156
P050203012,05,0502,050203,220,165
P050203013,05,0502,050203,220,165
P050203014,05,0502,050203,228,171
P050203015,05,0502,050203,248,186
P050203016,05,0502,050203,260,195
P050203017,05,0502,050203,260,195
P050203018,05,0502,050203,265,199
P050203019,05,0502,050203,288,216
P050203020,05,0502,050203,298,224
P050203021,05,0502,050203,298,224
P050203022,05,0502,050203,298,224
P050203023,05,0502,050203,298,224
P050203024,05,0502,050203,298,224
P050203025,05,0502,050203,298,224
P050203026,05,0502,050203,308,231
P050203027,05,0502,050203,325,244
P050203028,05,0502,050203,338,254
P050204001,05,0502,050204,150,113
P050204002,05,0502,050204,155,116
P050204003,05,0502,050204,180,135
P050204004,05,0502,050204,218,164
P050204005,05,0502,050204,218,164
P050204006,05,0502,050204,268,201
P050204007,05,0502,050204,268,201
P050204008,05,0502,050204,295,221
P050205001,05,0502,050205,148,111
P050205002,05,0502,050205,198,149
P050205003,05,0502,050205,230,173
P050205004,05,0502,050205,258,194
P050205005,05,0502,050205,258,194
P050205006,05,0502,050205,298,224
P050205007,05,0502,050205,310,233
P050205008,05,0502,050205,398,299
P050205009,05,0502,050205,548,411
P050206001,05,0502,050206,198,149
P050207001,05,0502,050207,130,98
P050207002,05,0502,050207,155,116
P050207003,05,0502,050207,155,116
P050207004,05,0502,050207,198,149
P050207005,05,0502,050207,208,156
P050207006,05,0502,050207,208,156
P050207007,05,0502,050207,208,156
P050207008,05,0502,050207,208,156
P050207009,05,0502,050207,270,203
P050207010,05,0502,050207,270,203
P050207011,05,0502,050207,285,214
P050207012,05,0502,050207,288,216
P050207013,05,0502,050207,288,216
P050207014,05,0502,050207,348,261
P050207015,05,0502,050207,355,266
P050207016,05,0502,050207,368,276
P050207017,05,0502,050207,378,284
P050207018,05,0502,050207,378,284
P050207019,05,0502,050207,388,291
P050207020,05,0502,050207,388,291
P050207021,05,0502,050207,388,291
P050207022,05,0502,050207,398,299
P050207023,05,0502,050207,480,360
P050207024,05,0502,050207,498,374
P050207025,05,0502,050207,498,374
P050207026,05,0502,050207,538,404
P050301001,05,0503,050301,25,19
